X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,X,Y
41642.8071975659,36513.8964991553,96139,B01,BLK 148,41643,36514
11485.3001981704,34457.9814029544,23151,B16,CONTAINERS PRINTERS,11485,34458
22003.6971983254,35796.0164969423,42089,B02,OPP BT TIMAH PLAZA,22004,35796
7028.88569920226,35124.5075006305,25099,B02,OPTO-PHARM,7029,35125
22831.7489976908,47133.7638000073,46261,B09,BLK 808,22832,47134
26353.1856005176,29283.4814006622,10339,B05,AFT BT MERAH CTRL,26353,29283
29542.7048986611,32678.9654992501,50011,B03,OPP PARISH OF CHRIST CH,29543,32679
18641.5038374768,38427.1322261031,43659,B01,ST ANTHONY'S PR SCH,18642,38427
42227.9554955405,39563.1564011556,78221,B06,,42228,39563
34065.7477978307,39047.4577030056,63359,B01,HOUGANG SWIM CPLX,34066,39047
36335.2959691277,38525.7410098035,64141,B13,AFT JLN TELAWI,36335,38526
36530.2647010316,32981.1799031809,83139,B07,AFT JOO CHIAT PL,36530,32981
12736.2422341457,39473.1072110138,31159,B33,,12736,39473
29669.9341989336,40841.5135975733,55231,B02,OPP SBST EAST DISTRICT,29670,40842
28404.7685989064,41300.9234997963,55351,B03,OPP FUDU WALK P/G,28405,41301
37378.1868003871,32166.8110005368,92089,B10,CHIJ KATONG CON,37378,32167
27575.8609992632,47252.6978997126,58239,B22,CANBERRA LINK,27576,47253
33524.1535306133,31938.8617792867,80271,B06,OPP BLK 2,33524,31939
35142.5938246022,31500.4940277828,82059,B02,ONE AMBER,35143,31500
44329.5150004209,39204.739499487,97089,B02,OPP SELARANG PK DRUG REH.,44330,39205
40577.2555997795,40261.7576030754,77099,B06,BEF PASIR RIS AVE,40577,40262
14109.518600332,36335.654698273,21391,B06,RIVER VALLEY HIGH SCH,14110,36336
28861.4836992443,31451.5697994565,08137,B08,ORCHARD PLAZA,28861,31452
20065.5245884591,37889.631393425,43301,B02,OPP HILLBROOKS,20066,37890
16000.1755024477,46531.6371022857,49249,B08,DRAGON FISH IND,16000,46532
46410.2247994122,41129.4873019085,95099,B01,CHANGI INTL EXH CTR,46410,41129
21505.8909980132,30250.8823991224,16051,B25,THE CRYSTAL TABERNACLE CH,21506,30251
42469.6704001027,38513.2267030414,98099,B02,BLK 269A,42470,38513
27045.3394022757,46944.9971976428,58019,B22,AFT SEMBAWANG SHOP CTR,27045,46945
28837.8320019108,31358.0430972427,08111,B03,WINSLAND HSE,28838,31358
18122.4590019572,33567.7720027333,20251,B01,BEF TEBAN GDNS RD,18122,33568
31178.8778005507,44049.7745996844,68131,B09,OPP BLK 532,31179,44050
24962.7267526343,33168.8751974215,11101,B09,FARRER RD MKT,24963,33169
26296.0874009758,28835.2323018664,14281,B06,OPP BLK 11,26296,28835
29366.8502981713,40337.0502979122,55509,NIL,YIO CHU KANG TER,29367,40337
28978.1487981652,34115.2761975441,50059,B10,OPP THOMSON MED CTR,28978,34115
7577.365596892,34938.2513016339,25119,B12,SIN HIAP CHUAN HARDWARE,7577,34938
23097.8016022032,47362.6933974665,46451,B08,OPP BLK 872,23098,47363
34140.50249864,41833.0167020591,67381,NIL,OPP BLK 317B,34141,41833
29513.5650021731,37398.131997326,53391,B01,OPP BLK 203,29514,37398
